time,magnitude
0.0,109458988
2155.0,109458974
58.0,153396
126029874.0,156714
9.0,388
18.0,900
27.0,230074
28.0,1595
61.0,46671
77.0,6838
97.0,697
114.0,2803
139.0,2622
196.0,1265
197.0,378252
199.0,427671
212.0,44867
250.0,2251
357.0,408905
430.0,92025
677.0,137449
1129.0,1269070
375.0,18
494.0,520
518.0,151353
704.0,8271
1218.0,32
1249.0,36272
1268.0,628
1539.0,168962
1629.0,416967
2076.0,432
2249.0,188417
2338.0,521
2398.0,30876
2553.0,5304
2573.0,69794
2725.0,114082
3029.0,1734393
3563.0,34388
3760.0,4199852
3995.0,250080
5679.0,106796
6279.0,1013958
6350.0,642
6362.0,2346
6373.0,1899
6374.0,568
2447.0,1021
8844.0,207629
9562.0,951311
10652.0,375014
6737.0,3850
6841.0,401162
7082.0,6728
8267.0,99924
9485.0,1012
10893.0,179
10965.0,58
11747.0,135068
12279.0,15712207
18715.0,50
12552.0,11113
13175.0,18264
13521.0,187
17948.0,283990
18369.0,698
18840.0,254
21188.0,372590
21222.0,2
22828.0,15893
22940.0,1149
24275.0,51348
25842.0,684630
26080.0,988415
27464.0,86869
27964.0,5824
28328.0,86
28845.0,70
28892.0,425
30164.0,9299
30951.0,35
33194.0,19
33334.0,129
33492.0,101
33897.0,44903
34045.0,88
37011.0,25
41462.0,1627
41909.0,26
41983.0,85
44496.0,442
44444.0,212
47149.0,97
48502.0,162921
51638.0,39
54854.0,439
52447.0,632
54631.0,5
55781.0,18
56208.0,9
56271.0,369
57031.0,736
61394.0,239
63894.0,17
64664.0,37435
59476.0,422
58156.0,3
66756.0,44
67668.0,83213
68810.0,35
69673.0,2
67862.0,2548
69052.0,321
67776.0,597
69147.0,418
70367.0,145
71333.0,374325
71418.0,230
73106.0,3079
75842.0,7611
75954.0,50
76860.0,239
78841.0,283
79248.0,237
80195.0,72
84183.0,133
79509.0,420
84906.0,6
85234.0,7
80546.0,26
85392.0,138
86284.0,542
86333.0,6
86471.0,524
87333.0,12
88351.0,1909
89158.0,18
91423.0,886
91997.0,122366
96351.0,20236
96456.0,76
99018.0,57
97065.0,48
106940.0,9
111444.0,10
104646.0,106
116380.0,94
127071.0,59
111079.0,10
112800.0,1
112819.0,22
113389.0,595
140875.0,3
141083.0,29
110089.0,2172
110459.0,8
112860.0,16
113596.0,92
114667.0,25
116055.0,73
117208.0,844
117332.0,20
118190.0,86
